Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.2,2,30,50,6,0.01,2519.156006,225.6427002
10,0.2,2,30,50,6,0.015848933,2604.37085,170.0833588
10,0.2,2,30,50,6,0.025118863,2647.185547,133.7148438
10,0.2,2,30,50,6,0.039810721,2681.284912,113.9758453
10,0.2,2,30,50,6,0.063095748,2713.3396,100.3000107
10,0.2,2,30,50,6,0.100000001,2740.444092,89.38461304
10,0.2,2,30,50,6,0.158489317,2760.729492,82.79653931
10,0.2,2,30,50,6,0.251188636,2781.53833,76.55649567
10,0.2,2,30,50,6,0.398107171,2802.925049,72.09207153
10,0.2,2,30,50,6,0.630957365,2823.109375,69.98768616
10,0.2,2,30,50,6,1,2835.997803,71.01538086
10,0.2,2,30,50,6,1.584893227,2854.716553,73.39735413
10,0.2,2,30,50,6,2.511886358,2863.041748,92.28955078
10,0.2,2,30,50,6,3.981071472,2886.577637,98.66660309
10,0.2,2,30,50,6,6.309572697,2829.773926,112.776886
10,0.2,2,30,50,6,10,2861.869141,91.31180573
10,0.2,2,90,50,6,0.01,819.6756592,121.0620651
10,0.2,2,90,50,6,0.015848933,899.0216675,113.5734634
10,0.2,2,90,50,6,0.025118863,954.7654419,102.8617706
10,0.2,2,90,50,6,0.039810721,994.0921021,93.88309479
10,0.2,2,90,50,6,0.063095748,1027.380371,86.35836792
10,0.2,2,90,50,6,0.100000001,1053.345337,80.11935425
10,0.2,2,90,50,6,0.158489317,1076.165771,75.17558289
10,0.2,2,90,50,6,0.251188636,1096.460815,71.98627472
10,0.2,2,90,50,6,0.398107171,1115.597656,69.9141922
10,0.2,2,90,50,6,0.630957365,1132.748535,69.38749695
10,0.2,2,90,50,6,1,1151.572876,72.22250366
10,0.2,2,90,50,6,1.584893227,1168.60498,76.90496063
10,0.2,2,90,50,6,2.511886358,1183.950195,85.06565094
10,0.2,2,90,50,6,3.981071472,1187.245728,98.36016083
10,0.2,2,90,50,6,6.309572697,1165.144653,115.6507111
10,0.2,2,90,50,6,10,1240.213867,114.0786438
